gene_id,Cont_JSY,Cont_LCM,Cont_LMH,Cont_LSA,Cont_T13008,IJHC1203,IJHC1215,IJHC1219,IJHC1231,T17012,T17013,T17015,T17019
100302164,0,0,0,0,0,0,0,0,0,0,0,0,0
100302165,0,0,0,0,0,0,0,0,0,0,0,0,0
100302166,0,0,0,0,0,0,0,0,0,0,0,0,0
100302167,0,0,0,0,0,0,0,0,0,0,0,0,0
100287364,2,0,1,0,0,0,0,0,1,0,0,0,1
100287362,0,0,0,0,0,0,0,0,0,0,0,0,0
729974,0,0,0,0,0,0,0,0,0,0,0,0,0
283651,6,0,9,0,4,0,3,0,5,4,6,13,6
283652,0,0,0,0,0,0,0,0,0,0,0,0,0
8549,3,0,0,6,0,0,0,0,0,0,0,0,0
8548,2038,1805,1777,2458,1985,2256,2156,1561,2796,1548,1716,1875,1959
8545,8543,8313,7016,8110,7644,8856,9407,6472,10126,7699,8233,2910,8952
283659,455,273,146,191,116,129,159,119,125,77,155,146,210
8547,0,0,0,0,0,0,0,0,0,0,0,0,0
8546,5811,4615,4865,5740,5587,6065,5810,4413,7384,4881,5119,5235,4998
8541,290,314,357,307,330,404,278,141,289,259,396,156,267
8540,3894,2959,3495,4717,3621,4760,4100,3330,5495,4165,4425,4772,4013
8543,10312,6549,8500,6438,8675,7191,7848,6391,7552,6562,6669,6952,6327
8542,1305,801,729,718,624,1435,1408,1289,803,1474,1500,1364,1642
624,3895,3114,2353,2476,2202,2885,1358,1014,2591,3322,2329,3004,2013
145438,107,65,133,125,83,77,147,108,177,113,112,113,135
629,1131,637,466,542,562,387,572,497,254,702,597,743,706
100302290,0,0,0,0,0,0,0,0,0,0,0,0,0
55629,4649,2800,3326,4184,3281,3049,3811,2936,5085,3297,2956,3095,3629
55628,1193,846,985,990,978,1100,1226,877,1561,975,1215,1034,1089
374920,746,601,643,622,635,612,618,485,795,602,525,593,546
100337616,0,0,0,0,0,0,0,0,0,0,0,0,0
55622,1196,1032,1047,1246,1173,1124,1107,1053,1797,1049,1065,1338,1034
55621,2451,1516,2171,1935,1798,1273,2230,1701,2724,1157,1378,1611,1597
55620,135,29,75,47,83,29,46,70,62,139,37,66,68
55627,6234,4549,6749,5333,5603,5324,5893,4526,8517,4883,5426,4890,4454
55626,2175,1567,2092,1878,1923,2354,2034,1594,2481,1994,2265,1768,1667
55625,11501,8782,10924,10514,7616,8248,9268,7236,9766,3279,9497,9363,8143
374928,584,570,590,522,472,708,868,689,519,702,772,741,833
389073,0,0,0,0,0,0,0,0,0,0,0,0,0
389072,1680,1454,1333,1449,1031,1676,1860,1156,1422,1509,1758,1623,1515
389075,0,0,0,0,0,0,0,0,0,0,0,0,0
728716,0,0,0,0,0,0,0,0,0,0,0,0,0
728712,0,0,0,0,0,0,0,0,0,0,0,0,0
127731,0,0,0,0,0,0,0,0,0,0,0,0,0
127733,0,0,0,5,3,3,9,0,0,0,0,0,0
65268,0,0,0,0,0,0,0,0,0,0,0,0,0
65264,12441,12345,13483,13299,11553,13256,13736,10491,15754,12026,12793,12561,10684
65265,3090,2150,2325,2766,2281,2694,2452,1939,3141,2407,2449,2721,2195
65266,873,370,1768,2137,1639,1150,2281,1808,4777,2245,911,1201,1202
65267,153,70,66,111,71,66,100,68,142,69,97,47,115
65260,527,403,450,484,483,607,516,513,877,580,532,529,470
150160,0,0,0,0,0,0,0,0,0,0,0,0,0
393,163,117,104,110,47,61,75,33,80,44,88,89,116
392,18989,13357,18880,14547,14712,17931,12103,10703,15835,10957,23175,12231,10193
391,4074,2580,3947,3616,2992,3242,3018,2717,4042,2654,2932,2889,2381
390,18517,14850,10400,15495,9177,16006,4509,9248,15121,10640,15369,14421,10491
397,312,166,368,221,347,393,331,117,825,224,235,133,116
396,28634,19980,30489,31190,28399,37508,29178,24476,50662,28930,31165,27230,22250
395,251,120,63,101,67,57,76,46,84,58,127,108,57
394,9339,7921,7447,11214,7368,10105,9975,7527,7834,7791,8574,9663,9413
399,3,0,0,0,0,0,0,0,0,0,0,0,0
398,8,8,3,6,6,9,0,7,0,0,16,0,14
101927482,0,0,0,0,0,0,9,7,0,6,0,0,0
93134,4169,3005,3100,2655,2228,3920,4089,2872,3367,3214,4621,3815,3741
730668,0,0,6,0,3,0,0,0,0,0,0,3,6
164592,46,25,29,12,17,3,37,27,14,21,7,17,6
389690,0,0,0,0,0,0,0,0,0,0,0,0,0
3748,95,207,103,133,68,209,140,38,96,63,152,51,182
3749,281,244,172,149,249,321,417,243,678,230,269,164,200
3746,0,0,0,0,0,0,0,0,0,3,0,0,0
3747,0,0,0,0,0,0,0,0,0,0,0,0,0
3744,0,0,0,0,0,0,0,0,0,0,0,0,0
3745,54,112,25,65,22,86,38,52,0,34,80,25,16
3742,0,0,0,6,0,0,6,3,3,0,17,0,19
3743,0,5,0,0,0,0,0,0,0,0,0,0,0
3741,0,0,0,0,0,0,0,0,0,0,0,0,0
100286979,0,0,0,0,0,0,0,0,0,0,0,0,0
222553,0,3,0,3,0,0,0,0,0,0,6,3,0
57661,4956,3664,4874,4237,4213,4705,4936,3888,6854,4431,4857,3891,4317
57663,0,0,0,0,0,0,0,0,0,0,0,0,0
57662,17,0,0,3,0,0,0,3,0,0,0,0,0
57665,1328,1128,802,1082,947,1098,815,782,1246,782,993,992,992
57664,2513,1444,1904,1320,2261,1507,1576,1048,1912,1625,1043,1035,1724
57666,2263,1265,1692,1248,1161,1364,1269,1012,1452,1454,1606,1506,1503
57669,800,991,543,882,586,774,966,650,565,678,995,993,865
474148,0,0,0,0,0,0,0,0,0,0,0,0,0
474149,0,0,0,0,0,0,0,0,0,0,0,0,0
25981,1336,787,1070,880,673,453,1438,970,647,967,886,889,1039
101929006,0,0,0,0,0,0,0,0,0,0,0,0,0
101929002,0,0,0,0,0,0,0,0,0,0,0,0,0
113146,1022,3127,2051,5101,2390,6407,1594,4674,4291,6948,10096,8430,4683
146310,0,0,0,0,0,0,6,0,0,0,0,0,0
348120,0,0,0,0,0,0,0,0,0,0,0,0,0
121441,1655,1493,1432,1747,1563,1759,1779,1427,2480,1631,1929,1960,1793
57085,2279,1216,1955,1906,1921,1638,2004,1764,1730,1796,1493,1656,1376
57084,0,0,0,0,0,0,0,0,0,0,0,0,0
57082,252,97,207,396,798,205,353,149,1942,338,159,95,205
57089,2306,2113,2440,3018,3489,2865,2974,1902,4207,2637,3301,2101,2135
57088,4056,3517,3015,2739,1825,1721,2318,2029,863,3026,2246,3194,3291
286234,0,0,0,0,0,0,0,0,0,0,0,0,0
731223,12,3,3,0,6,3,6,9,0,14,4,0,6
731220,235,145,150,221,398,44,265,55,344,91,35,52,334
55832,8020,7299,7535,8563,8257,10129,9699,6923,11401,8326,9208,9315,8794
6819,0,0,0,0,0,0,0,0,0,0,0,0,0
6818,91,4,41,50,53,43,75,32,59,8,51,97,71
100313774,0,0,0,0,0,0,0,0,0,0,0,0,0
100313773,0,0,0,0,0,0,0,0,0,0,0,0,0
100313772,0,0,0,0,0,0,0,0,0,0,0,0,0
100313771,0,0,0,0,0,0,0,0,0,0,0,0,0
100313770,0,0,0,0,0,0,0,0,0,0,0,0,0
6811,3351,2657,4430,3356,3204,3481,3353,2768,3988,3105,3220,3256,2705
6810,3154,2196,3198,3099,2500,2237,2767,2475,2956,2482,2099,2274,2437
6813,339,194,166,278,159,216,264,230,199,123,168,98,35
6812,5551,4602,4107,3948,3281,5066,5121,3850,4550,3996,4529,4275,4332
6815,1307,1575,1312,1744,1629,1904,1712,1243,2134,1585,1612,1827,1725
6814,2158,2127,1782,2041,1754,1716,2064,1489,2256,1287,1666,1840,1896
6817,639,205,300,235,310,429,138,95,172,272,398,153,201
100313778,0,0,0,0,0,0,0,0,0,0,0,0,0
9757,5813,3547,5188,4033,4098,3723,4606,3381,5230,3984,4417,3844,3786
9755,1686,1195,1812,1233,1369,1074,1610,1170,1057,1462,1259,1276,1510
9754,378,215,454,300,327,236,282,152,770,319,224,109,257
9753,600,398,462,581,453,480,657,382,622,485,534,584,605
9752,11,13,6,5,5,10,7,3,3,9,21,5,3
9751,1615,1317,1550,1740,1129,1931,1603,1289,2041,1706,1952,1720,1127
9750,194,245,99,169,61,173,42,54,36,13,134,63,73
9759,2249,1407,1530,1214,1049,1419,1234,1073,1456,1532,1522,1568,1437
9758,28,17,9,37,17,17,52,19,43,37,4,10,27
24146,579,406,447,302,304,153,560,390,442,389,451,433,544
24147,600,446,634,598,565,667,577,550,1321,829,575,594,629
24144,2428,1793,2420,2609,2277,2618,2874,2002,3461,2304,2510,2380,2016
24145,2216,1787,1666,1599,1600,3137,1990,1480,2444,2595,2786,1993,2200
24142,679,550,533,578,547,335,367,332,520,345,319,344,389
24140,3556,3037,4905,5154,6069,3583,5376,4728,5285,3428,3601,4157,3760
24141,12,23,11,19,92,32,11,19,67,11,9,15,66
